TF,Target
CELF2,EXO1
PLAU,NUDT11
CLGN,GTF2H2D
ITGA5,PLK4
COL4A1,MFAP4
CNTRL,SPPL2A
FBN1,HIBCH
GFM1,C1ORF112
TOM1L1,AMIGO2
BMPER,PELI2
BAG3,ST8SIA1
CCDC66,NCAPG
SFRP1,WDR48
COCH,LGR5
RGS5,STAT1
SLC19A2,MLLT3
TTC14,GTF2B
TP53INP1,CCNA2
EXO1,C4ORF46
ZNF518B,HMMR
DKK4,STK38L
MLLT3,GATA6
PDE3B,MTMR2
DCUN1D4,YPEL5
SIRT1,HIBCH
HLA-DRB1,CCKBR
SERPINE2,PARPBP
IPO11,NDC80
PLAA,NCAM1
ST8SIA1,TMEM38B
ATG4C,SPPL2A
DNAJB14,TMX3
CNKSR3,HAS2
DNAJB9,CPE
PRPS2,PMP22
FLRT3,HAND1
IL6ST,FBXO5
AXL,BMP2
AKAP2,CRYZL1
KIAA1324L,HMMR
MFAP4,KLHL24
CLGN,FAM188A
GPSM2,KRCC1
DRAM2,COMMD10
KIAA1804,PMAIP1
GABPA,FAM117B
CYP26A1,LTN1
ERCC-00092,EXO1
MYCT1,YEATS4
KDELR3,MPHOSPH9
GRPEL2,MTERFD1
TP53INP1,VAMP7
TRUB1,LRIG3
CBR1,BUB1B
RHAG,LYPLAL1
AK4,PPM1H
MAP4K3,COL5A1
PMAIP1,RGS5
RFESD,ERCC-00136
FBXO3,ELL2
CDC7,PIK3R5
COMMD10,OTUD6B
ZNF138,MTMR2
WDR35,RNF138
SORL1,DDAH1
PROM1,SLC18A2
CD9,PRSS35
LRRCC1,WDFY1
MAGI3,KLF10
SLC46A3,VPS54
DNAJB9,MRS2
ERCC-00002,KLHL28
AK4,NTS
COMMD10,NUDT11
MRE11A,PLAU
HSD17B11,ANAPC4
MMP16,TRDN
DOCK7,TMOD1
CAMK2D,AMIGO2
PLK1,C1ORF112
CEP55,PCDH7
MLLT3,PPIP5K2
ST3GAL6,OXTR
NCAPG,ERCC-00108
POLR3G,ZNF567
MAGI3,ARMCX3
KRCC1,CAP2
SLC35A3,GTF2B
HAS2,ERCC-00062
C5ORF22,HPRT1
CCDC66,ELL2
UBE2W,MLLT3
NCAM1,KIF4A
ZNF268,CBR1
OTUD6B,ACTC1
FASTKD3,TNFAIP8
COBLL1,DRAM2
ERCC-00004,TBX3
NLGN4X,USP44
TIPIN,LTN1
KIF18A,IPO8
GYPE,INSIG2
GATM,USP44
MYOCD,GTF2H2D
MALT1,DDAH1
FASTKD1,ERCC-00009
LIPG,SYNC
MPHOSPH9,COL1A2
TNFRSF11B,COL4A1
DECR1,ERCC-00044
CA2,ERCC-00002
RFPL2,MAGI3
CCDC138,STK17B
ANKRD6,TBPL1
RPE,MRS2
ALG11,FAM117B
KDR,TOM1L1
NDC80,EOMES
LPIN1,CCDC82
DUSP11,TP53INP1
PDLIM3,RALB
ANKRD28,NXT2
ERCC-00025,UBE2W
TDP2,GFM1
CCDC82,PLK2
HLA-DQB1,CD9
ATL2,CENPQ
ERCC-00074,MRE11A
ST3GAL6,KDELR3
SLCO2A1,HEG1
ERCC-00043,TMEM38B
CDH11,SKA3
HSD17B11,NFIB
SEC24D,GLDC
PROM1,COBLL1
TSPAN12,STK17B
PLCB4,PIP4K2A
GLRX,ARMC8
MYOCD,FAM188A
TBPL1,PRPS2
SENP7,CENPC1
DUSP11,MTMR6
RNF138,KIAA1324L
KAL1,ECT2
SLC39A8,PMP22
ACOX3,HBP1
ANGPT2,PMAIP1
RHAG,RFESD
SENP7,PELI2
PLK2,GTF2B
LEPREL1,TNFAIP8
C3ORF14,DCAF6
ABCA1,GATA4
ERCC8,ARL4A
GYPE,ZEB2
LTN1,LRRC40
GDAP1,ERCC-00074
ALG6,CDC7
COLEC12,ALCAM
