Gene1,Gene2,Type
FOS,NTS,1
FOS,OXTR,1
FOS,PLAU,1
GABPA,OXTR,1
GATA6,DKK1,1
GATA6,PLAU,1
HSF2,FOS,1
NANOG,CDK6,1
NANOG,DKK1,1
NANOG,KDR,1
NANOG,GATA4,1
NANOG,GATA6,1
NANOG,GDF3,1
NANOG,NODAL,1
SIRT1,BCL11A,1
SIRT1,COL1A2,1
SIRT1,TBX3,1
WWP1,ERBB4,1
ZEB1,EPCAM,1
ZEB2,ITGA5,1
ZEB2,VIM,1
DDX20,SMN1,1
ERCC8,CBR1,1
FOS,ANKRD28,1
FOS,ANXA3,1
FOS,CA2,1
FOS,CAP2,1
FOS,CHEK2,1
FOS,COL5A1,1
FOS,DTL,1
FOS,DUSP4,1
FOS,ELL2,1
FOS,FAM173B,1
FOS,FAM46A,1
FOS,GATA4,1
FOS,GRPR,1
FOS,HBP1,1
FOS,IL6ST,1
FOS,ITGA5,1
FOS,KAT7,1
FOS,KLF10,1
FOS,LGALSL,1
FOS,LIFR,1
FOS,MALT1,1
FOS,MAP4K3,1
FOS,MID1,1
FOS,MTMR2,1
FOS,PENK,1
FOS,PLAA,1
FOS,PNPLA8,1
FOS,PTGR1,1
FOS,SEMA5A,1
FOS,STAT1,1
FOS,STK3,1
FOS,USP53,1
FOS,VIM,1
FOS,VWA5A,1
GABPA,ACOX3,1
GABPA,AGL,1
GABPA,ANAPC4,1
GABPA,ARL4A,1
GABPA,ATG4C,1
GABPA,BLM,1
GABPA,CCDC82,1
GABPA,CDC20,1
GABPA,CEP55,1
GABPA,CSTF1,1
GABPA,DNAJB9,1
GABPA,DUSP10,1
GABPA,ELMOD2,1
GABPA,FAM173B,1
GABPA,FAM54B,1
GABPA,FASTKD5,1
GABPA,FBXO28,1
GABPA,FBXO5,1
GABPA,GCA,1
GABPA,GDAP1,1
GABPA,GFM1,1
GABPA,GRPEL2,1
GABPA,HIBCH,1
GABPA,INSIG2,1
GABPA,IPO8,1
GABPA,ITFG1,1
GABPA,KAT7,1
GABPA,KBTBD2,1
GABPA,KIF18A,1
GABPA,KIF23,1
GABPA,KIF4A,1
GABPA,KLF10,1
GABPA,KLHL28,1
GABPA,LTN1,1
GABPA,MELK,1
GABPA,METTL18,1
GABPA,MORC3,1
GABPA,MTERF,1
GABPA,NDFIP2,1
GABPA,NUP35,1
GABPA,PGM2,1
GABPA,PHC1,1
GABPA,PRMT6,1
GABPA,RALB,1
GABPA,RGS5,1
GABPA,RPE,1
GABPA,RRM2B,1
GABPA,SENP7,1
GABPA,SLC35A3,1
GABPA,SMN1,1
GABPA,SNX14,1
GABPA,SPPL2A,1
GABPA,STAT1,1
GABPA,TBPL1,1
GABPA,TFB2M,1
GABPA,TMEM64,1
GABPA,TMX3,1
GABPA,TTC14,1
GABPA,UBE2D1,1
GABPA,UBE2W,1
GABPA,UGGT2,1
GABPA,VAMP7,1
GABPA,WDR35,1
GABPA,WDR48,1
GABPA,ZDHHC21,1
GABPA,ZEB2,1
GABPA,ZNF138,1
GABPA,ZNF302,1
GABPA,ZNF567,1
GABPA,ZNF670,1
GABPA,ZNF791,1
GATA4,FOS,1
GTF2B,TBPL1,1
HSF2,ARL4D,1
HSF2,FBXO11,1
HSF2,NCAPG,1
HSF2,ST3GAL6,1
HSF2,TRDN,1
ID2,IFI16,1
IFI16,ID2,1
KAT7,CEP70,1
KAT7,VIM,1
STAT1,ANAPC4,1
STAT1,ANKRD28,1
STAT1,BLM,1
STAT1,CAMK2D,1
STAT1,COBLL1,1
STAT1,CYP1B1,1
STAT1,ESCO2,1
STAT1,FASTKD3,1
STAT1,FBXO5,1
STAT1,FOS,1
STAT1,IL6ST,1
STAT1,KDR,1
STAT1,KIF4A,1
STAT1,KIT,1
STAT1,MAN1A1,1
STAT1,MID1,1
STAT1,OXR1,1
STAT1,PDGFRA,1
STAT1,PIK3R5,1
STAT1,PLAU,1
STAT1,PRDM1,1
STAT1,PRICKLE1,1
STAT1,REV3L,1
STAT1,SEMA6D,1
STAT1,SNX14,1
STAT1,VAMP7,1
STAT1,WNT5A,1
TBPL1,GTF2B,1
WWP1,KDR,1
WWP1,KIT,1
WWP1,PDGFRA,1
ZEB1,ACTC1,1
ZEB1,ALCAM,1
ZEB1,ALPK2,1
ZEB1,ARMC8,1
ZEB1,ATL2,1
ZEB1,CELF2,1
ZEB1,DCAF6,1
ZEB1,FAM89A,1
ZEB1,FREM1,1
ZEB1,GABRB2,1
ZEB1,HMMR,1
ZEB1,KIT,1
ZEB1,MAN1A1,1
ZEB1,NFIB,1
ZEB1,NRP2,1
ZEB1,OTX2,1
ZEB1,PCDH7,1
ZEB1,PHLDA1,1
ZEB1,PIK3R5,1
ZEB1,PPM1H,1
ZEB1,PROM1,1
ZEB1,PRSS23,1
ZEB1,RFESD,1
ZEB1,RPE,1
ZEB1,TMOD1,1
ZEB1,TP53INP1,1
FOS,CAMK2D,1
FOS,CDK6,1
FOS,DUSP10,1
FOS,MCC,1
FOS,NFIB,1
FOS,NRP1,1
FOS,PIP4K2A,1
FOS,PLCB4,1
FOS,PLXNA2,1
FOS,RND3,1
FOS,SEMA3A,1
FOS,TNFAIP8,1
STAT1,ALCAM,1
STAT1,ATG4C,1
STAT1,BCL11A,1
STAT1,CDC7,1
STAT1,CDK6,1
STAT1,COL1A2,1
STAT1,DUSP10,1
STAT1,GLIPR2,1
STAT1,KLHL6,1
STAT1,NRP1,1
STAT1,NRP2,1
STAT1,PIP4K2A,1
STAT1,PMAIP1,1
STAT1,PPM1H,1
STAT1,TMX3,1
STAT1,TNFAIP8,1
STAT1,ZEB2,1
