Gene1,Gene2
ATF3,HERPUD1
ATF3,FANCD2
ATF3,ATG5
ATF3,ZNF721
ATF3,TSFM
ATF3,THAP4
ATF3,EFTUD2
ATF3,STMN1
ATF3,CDK4
ATF3,G6PC3
ATF3,EXOSC9
ATF3,DPH5
ATF3,RRM1
ATF3,TBRG4
ATF3,HNRNPH2
ATF3,WDHD1
ATF3,C19orf48
ATF3,NOL10
ATF3,ZFP64
ATF3,NEK2
ATF3,ZFAND2A
ATF3,NDUFAF5
ATF3,WDR74
ATF3,CAMK2D
ATF3,SEC11C
ATF3,HMGN4
ATF3,PEF1
ATF3,PRMT3
ATF3,PRC1
ATF3,AGTRAP
ATF3,BPTF
ATF3,THAP5
ATF3,KLHL7
ATF3,ZNF143
ATF3,PAK1IP1
ATF3,C11orf1
ATF3,CENPK
ATF3,F3
ATF3,UTP18
ATF3,ANLN
ATF3,WDR43
ATF3,CACYBP
ATF3,IRF9
ATF3,FEN1
ATF3,YBX1
ATF3,ADNP2
ATF3,TEX10
ATF3,HINFP
ATF3,CHEK1
ATF3,DCAF13
ATF3,KAT7
ATF3,PHF5A
ATF3,HMGCL
ATF3,CKS2
ATF3,SCAPER
ATF3,MCM7
ATF3,ATIC
ATF3,AMZ2
ATF3,PHF20
ATF3,CENPN
ATF3,TIMM21
ATF3,MTTP
ATF3,PPFIBP2
ATF3,FOSL2
ATF3,YAF2
ATF3,GEMIN8
ATF3,POU2F1
ATF3,ZNF354A
ATF3,ZNF207
ATF3,LAPTM4B
ATF3,FOXM1
ATF3,PPP1R7
ATF3,MTERF3
ATF3,GYG1
ATF3,PPT1
ATF3,CDCA3
ATF3,CHEK2
ATF3,ATMIN
ATF3,MPC1
ATF3,ZNF891
ATF3,NPRL2
ATF3,ZNF398
ATF3,NUP93
ATF3,ASNSD1
ATF3,XPO5
ATF3,SMAD5
ATF3,ZNF512
ATF3,CCNB1
ATF3,CHCHD3
ATF3,ZNF202
ATF3,COMMD3
ATF3,AIMP2
ATF3,DEPDC7
ATF3,ZBTB24
ATF3,THAP11
ATF3,ORC4
ATF3,ACY1
ATF3,BIRC5
ATF3,TOPORS
ATF3,TMEM69
ATF3,DPAGT1
ATF3,TBX3
ATF3,CREB3L4
ATF3,GMPR2
ATF3,GATA4
CEBPD,NUP35
CEBPD,ATF3
CEBPD,ZNF766
CEBPD,RSU1
CEBPD,AURKA
CEBPD,HSD17B11
CEBPD,PDGFRA
CEBPD,MST1
CEBPD,XBP1
CEBPD,DTWD1
CEBPD,ZBTB44
CEBPD,ANLN
CEBPD,DDIT3
CEBPD,SGK1
CEBPD,HERPUD1
CEBPD,DDIT4
CEBPD,UGP2
CEBPD,TFRC
CEBPD,SLC38A2
CEBPD,SHMT2
CEBPD,LCMT1
CEBPD,NR1H3
CEBPD,ING3
CEBPD,ZNF202
CEBPD,BST2
CEBPD,C19orf48
CEBPD,PRMT5
CEBPD,CEP70
CEBPD,TDP2
CEBPD,TSFM
CEBPD,HMGB2
CEBPD,MPHOSPH9
CEBPD,PLRG1
CEBPD,C1GALT1
CEBPD,APOB
CEBPD,HMGN4
CEBPD,E2F3
CEBPD,ASNS
CEBPD,THAP5
CEBPD,JUN
CEBPD,PCNA
CEBPD,TMEM69
CEBPD,MTF2
CEBPD,CTSC
CEBPD,RUVBL1
CEBPD,CAMK2D
CEBPD,TP53
CEBPD,CETN3
CEBPD,ASNSD1
CEBPD,TF
CEBPD,SLC38A1
CEBPD,TK1
CEBPD,ALG8
CEBPD,APOA2
CEBPD,CEBPA
CEBPD,RBP4
CEBPD,C17orf75
CEBPD,MIS18BP1
CEBPD,GATM
CEBPD,MTHFD2
CEBPD,ID2
CEBPD,NUP54
CEBPD,CDK5RAP1
CEBPD,NUF2
CEBPD,EFNA1
CEBPD,STMN1
CEBPD,MYC
CEBPD,FOXN2
CEBPD,DNMT3B
CEBPD,NUSAP1
CEBPD,JUND
CEBPD,CEBPZ
CEBPD,XPO5
CEBPD,TATDN3
CEBPD,PLAGL2
CEBPD,MAZ
CEBPD,BUB1
CEBPD,MRPL1
CEBPD,MXD1
CEBPD,ZNF770
CEBPD,IQCB1
CEBPD,ETV5
CEBPD,PSAT1
CEBPD,MYSM1
CEBPD,SIL1
CEBPD,ZNF92
CEBPD,CKS2
CEBPD,HMGA1
CEBPD,DGAT1
CEBPD,FABP1
CEBPD,TGIF1
CEBPD,CXXC1
CEBPD,ZNF253
CEBPD,GGCT
CEBPD,KLHL7
CEBPD,ZNF143
CEBPD,PRMT3
CEBPD,KPNA2
CEBPD,BZW2
CEBPD,ASGR1
CEBPD,TCFL5
CEBPD,NIF3L1
CEBPD,MTERF3
CEBPD,UBE2T
CEBPD,IRF9
CEBPD,ZWILCH
CEBPD,ACADSB
CEBPD,DRAP1
CEBPD,ZNF512
CEBPD,NCAPG
CEBPD,HMGCL
CEBPD,DR1
CEBPD,PA2G4
CEBPD,CMC1
CEBPD,MLXIPL
CEBPD,VTN
CEBPD,LEAP2
CEBPD,ADNP
CEBPD,ETV4
CEBPD,ATP1B3
CEBPD,FGA
CEBPD,FBL
CEBPD,ORC4
CEBPD,ASL
CEBPD,FANCD2
CEBPD,ANXA4
CEBPD,TIMM9
CEBPD,NOL10
CEBPD,KAT7
CEBPD,DPH5
CEBPD,MTTP
CEBPD,CDK4
CEBPD,WDR43
CEBPD,ICE2
CEBPD,GEMIN2
CEBPD,TBRG4
CEBPD,RRM2
CEBPD,SF3B3
CEBPD,ATL2
CEBPD,AHSG
CEBPD,APOA1
CEBPD,KNTC1
CEBPD,TEX10
CEBPD,TFE3
CEBPD,FANCL
CEBPD,ZNF721
CEBPD,FGG
CEBPD,AGT
CEBPD,ACY1
CEBPD,FOXA2
CEBPD,PAK1IP1
CEBPD,TGIF2
CEBPD,RFXANK
CEBPD,HNF4A
CEBPD,CDKN3
CEBPD,MRPS27
CEBPD,FASTKD2
CEBPD,SRF
CEBPD,BPTF
CEBPD,HP
CEBPD,NOP16
CEBPD,GEMIN8
CEBPD,CREB1
CEBPD,ZNF397
CEBPD,ACTL6A
CEBPD,ZNF121
CEBPD,EXOSC3
CEBPD,G2E3
CEBPD,ANP32E
CEBPD,ZBTB24
CEBPD,PARPBP
CEBPD,NUP37
CEBPD,RBPJ
CEBPD,CENPN
CEBPD,ZNF574
CEBPD,NIP7
CEBPD,YBX1
CEBPD,SMAD3
CEBPD,THAP1
CEBPD,THRB
CEBPD,DNAH14
CEBPD,ZNF581
CEBPD,BPHL
CEBPD,POLB
CEBPD,TMEM37
CEBPD,RFC4
CEBPD,POU2F1
CEBPD,ACAA1
CEBPD,DDB2
CEBPD,GMNN
CEBPD,RAB28
CEBPD,FOXP1
CEBPD,NUDT15
CEBPD,ZNF691
CEBPD,TMEM177
CEBPD,POLR1C
CEBPD,ZNF33A
CEBPD,GSN
CEBPD,TIPIN
CEBPD,ARID2
CEBPD,VEZF1
CEBPD,PHGDH
CEBPD,AEBP2
CEBPD,ARID3B
CEBPD,PEMT
CEBPD,ATG5
CEBPD,SKIL
CEBPD,STAT2
CEBPD,ZNF675
CEBPD,GALM
CEBPD,IL6ST
CEBPD,UQCC1
CEBPD,SMOX
CEBPD,KIF20B
CEBPD,DNPEP
CEBPD,HMMR
CEBPD,ZNF589
CEBPD,TERF1
CEBPD,GNPNAT1
CEBPD,ANAPC4
CEBPD,AHR
CEBPD,ZNF286A
CEBPD,NDUFAF4
CEBPD,FOXA1
CEBPD,SKA3
CEBPD,PEG3
CEBPD,NUDT1
CEBPD,GMPR2
CEBPD,CCS
CEBPD,PPIL1
CEBPD,TBX3
CEBPD,TBPL1
CEBPD,NUP85
CEBPD,ISY1
CEBPD,PIM2
CEBPD,BBS9
CEBPD,AMZ2
CEBPD,PPT1
CEBPD,F2
CEBPD,DSN1
CEBPD,PON2
CEBPD,MTUS1
CEBPD,THAP4
CEBPD,GSTK1
CEBPD,GALK1
CEBPD,F10
CEBPD,EEF1E1
CEBPD,NDUFAF5
