Gene1,Gene2,Type
ATF3,HERPUD1,1
ATF3,FANCD2,1
ATF3,ATG5,1
ATF3,ZNF721,1
ATF3,TSFM,1
ATF3,THAP4,1
ATF3,EFTUD2,1
ATF3,STMN1,1
ATF3,CDK4,1
ATF3,G6PC3,1
ATF3,EXOSC9,1
ATF3,DPH5,1
ATF3,RRM1,1
ATF3,TBRG4,1
ATF3,HNRNPH2,1
ATF3,WDHD1,1
ATF3,C19orf48,1
ATF3,NOL10,1
ATF3,ZFP64,1
ATF3,NEK2,1
ATF3,ZFAND2A,1
ATF3,NDUFAF5,1
ATF3,WDR74,1
ATF3,CAMK2D,1
ATF3,SEC11C,1
ATF3,HMGN4,1
ATF3,PEF1,1
ATF3,PRMT3,1
ATF3,PRC1,1
ATF3,AGTRAP,1
ATF3,BPTF,1
ATF3,THAP5,1
ATF3,KLHL7,1
ATF3,ZNF143,1
ATF3,PAK1IP1,1
ATF3,C11orf1,1
ATF3,CENPK,1
ATF3,F3,1
ATF3,UTP18,1
ATF3,ANLN,1
ATF3,WDR43,1
ATF3,CACYBP,1
ATF3,IRF9,1
ATF3,FEN1,1
ATF3,YBX1,1
ATF3,ADNP2,1
ATF3,TEX10,1
ATF3,HINFP,1
ATF3,CHEK1,1
ATF3,DCAF13,1
ATF3,KAT7,1
ATF3,PHF5A,1
ATF3,HMGCL,1
ATF3,CKS2,1
ATF3,SCAPER,1
ATF3,MCM7,1
ATF3,ATIC,1
ATF3,AMZ2,1
ATF3,PHF20,1
ATF3,CENPN,1
ATF3,TIMM21,1
ATF3,MTTP,1
ATF3,PPFIBP2,1
ATF3,FOSL2,1
ATF3,YAF2,1
ATF3,GEMIN8,1
ATF3,POU2F1,1
ATF3,ZNF354A,1
ATF3,ZNF207,1
ATF3,LAPTM4B,1
ATF3,FOXM1,1
ATF3,PPP1R7,1
ATF3,MTERF3,1
ATF3,GYG1,1
ATF3,PPT1,1
ATF3,CDCA3,1
ATF3,CHEK2,1
ATF3,ATMIN,1
ATF3,MPC1,1
ATF3,ZNF891,1
ATF3,NPRL2,1
ATF3,ZNF398,1
ATF3,NUP93,1
ATF3,ASNSD1,1
ATF3,XPO5,1
ATF3,SMAD5,1
ATF3,ZNF512,1
ATF3,CCNB1,1
ATF3,CHCHD3,1
ATF3,ZNF202,1
ATF3,COMMD3,1
ATF3,AIMP2,1
ATF3,DEPDC7,1
ATF3,ZBTB24,1
ATF3,THAP11,1
ATF3,ORC4,1
ATF3,ACY1,1
ATF3,BIRC5,1
ATF3,TOPORS,1
ATF3,TMEM69,1
ATF3,DPAGT1,1
ATF3,TBX3,1
ATF3,CREB3L4,1
ATF3,GMPR2,1
ATF3,GATA4,1
CEBPD,NUP35,1
CEBPD,ATF3,1
CEBPD,ZNF766,1
CEBPD,RSU1,1
CEBPD,AURKA,1
CEBPD,HSD17B11,1
CEBPD,PDGFRA,1
CEBPD,MST1,1
CEBPD,XBP1,1
CEBPD,DTWD1,1
CEBPD,ZBTB44,1
CEBPD,ANLN,1
CEBPD,DDIT3,1
CEBPD,SGK1,1
CEBPD,HERPUD1,1
CEBPD,DDIT4,1
CEBPD,UGP2,1
CEBPD,TFRC,1
CEBPD,SLC38A2,1
CEBPD,SHMT2,1
CEBPD,LCMT1,1
CEBPD,NR1H3,1
CEBPD,ING3,1
CEBPD,ZNF202,1
CEBPD,BST2,1
CEBPD,C19orf48,1
CEBPD,PRMT5,1
CEBPD,CEP70,1
CEBPD,TDP2,1
CEBPD,TSFM,1
CEBPD,HMGB2,1
CEBPD,MPHOSPH9,1
CEBPD,PLRG1,1
CEBPD,C1GALT1,1
CEBPD,APOB,1
CEBPD,HMGN4,1
CEBPD,E2F3,1
CEBPD,ASNS,1
CEBPD,THAP5,1
CEBPD,JUN,1
CEBPD,PCNA,1
CEBPD,TMEM69,1
CEBPD,MTF2,1
CEBPD,CTSC,1
CEBPD,RUVBL1,1
CEBPD,CAMK2D,1
CEBPD,TP53,1
CEBPD,CETN3,1
CEBPD,ASNSD1,1
CEBPD,TF,1
CEBPD,SLC38A1,1
CEBPD,TK1,1
CEBPD,ALG8,1
CEBPD,APOA2,1
CEBPD,CEBPA,1
CEBPD,RBP4,1
CEBPD,C17orf75,1
CEBPD,MIS18BP1,1
CEBPD,GATM,1
CEBPD,MTHFD2,1
CEBPD,ID2,1
CEBPD,NUP54,1
CEBPD,CDK5RAP1,1
CEBPD,NUF2,1
CEBPD,EFNA1,1
CEBPD,STMN1,1
CEBPD,MYC,1
CEBPD,FOXN2,1
CEBPD,DNMT3B,1
CEBPD,NUSAP1,1
CEBPD,JUND,1
CEBPD,CEBPZ,1
CEBPD,XPO5,1
CEBPD,TATDN3,1
CEBPD,PLAGL2,1
CEBPD,MAZ,1
CEBPD,BUB1,1
CEBPD,MRPL1,1
CEBPD,MXD1,1
CEBPD,ZNF770,1
CEBPD,IQCB1,1
CEBPD,ETV5,1
CEBPD,PSAT1,1
CEBPD,MYSM1,1
CEBPD,SIL1,1
CEBPD,ZNF92,1
CEBPD,CKS2,1
CEBPD,HMGA1,1
CEBPD,DGAT1,1
CEBPD,FABP1,1
CEBPD,TGIF1,1
CEBPD,CXXC1,1
CEBPD,ZNF253,1
CEBPD,GGCT,1
CEBPD,KLHL7,1
CEBPD,ZNF143,1
CEBPD,PRMT3,1
CEBPD,KPNA2,1
CEBPD,BZW2,1
CEBPD,ASGR1,1
CEBPD,TCFL5,1
CEBPD,NIF3L1,1
CEBPD,MTERF3,1
CEBPD,UBE2T,1
CEBPD,IRF9,1
CEBPD,ZWILCH,1
CEBPD,ACADSB,1
CEBPD,DRAP1,1
CEBPD,ZNF512,1
CEBPD,NCAPG,1
CEBPD,HMGCL,1
CEBPD,DR1,1
CEBPD,PA2G4,1
CEBPD,CMC1,1
CEBPD,MLXIPL,1
CEBPD,VTN,1
CEBPD,LEAP2,1
CEBPD,ADNP,1
CEBPD,ETV4,1
CEBPD,ATP1B3,1
CEBPD,FGA,1
CEBPD,FBL,1
CEBPD,ORC4,1
CEBPD,ASL,1
CEBPD,FANCD2,1
CEBPD,ANXA4,1
CEBPD,TIMM9,1
CEBPD,NOL10,1
CEBPD,KAT7,1
CEBPD,DPH5,1
CEBPD,MTTP,1
CEBPD,CDK4,1
CEBPD,WDR43,1
CEBPD,ICE2,1
CEBPD,GEMIN2,1
CEBPD,TBRG4,1
CEBPD,RRM2,1
CEBPD,SF3B3,1
CEBPD,ATL2,1
CEBPD,AHSG,1
CEBPD,APOA1,1
CEBPD,KNTC1,1
CEBPD,TEX10,1
CEBPD,TFE3,1
CEBPD,FANCL,1
CEBPD,ZNF721,1
CEBPD,FGG,1
