"BEND_MAP_ID","EdgeBetweenness","interaction","name","node::Source_selected","node::Target_selected","selected","shared interaction","shared name"
"58828","6078.2999999999965","interacts with","ELF1 (interacts with) MED21",,,"false","interacts with","ELF1 (interacts with) MED21"
"58831","4327.5277777777355","interacts with","ELF1 (interacts with) ZNF525",,,"false","interacts with","ELF1 (interacts with) ZNF525"
"58835","1219.3428571428528","interacts with","ELF1 (interacts with) PREB",,,"false","interacts with","ELF1 (interacts with) PREB"
"58838","1083.1000000000038","interacts with","ELF1 (interacts with) RAD51C",,,"false","interacts with","ELF1 (interacts with) RAD51C"
"58841","902.5595238095328","interacts with","ELF1 (interacts with) CENPW",,,"false","interacts with","ELF1 (interacts with) CENPW"
"58844","1592.3499999999885","interacts with","ELF1 (interacts with) DDX39A",,,"false","interacts with","ELF1 (interacts with) DDX39A"
"58847","2873.921568627457","interacts with","ELF1 (interacts with) ZNF519",,,"false","interacts with","ELF1 (interacts with) ZNF519"
"58850","2550.333333333331","interacts with","ELF1 (interacts with) TTF1",,,"false","interacts with","ELF1 (interacts with) TTF1"
"58853","1926.3333333333399","interacts with","ELF1 (interacts with) ZNF625",,,"false","interacts with","ELF1 (interacts with) ZNF625"
"58856","5687.600000000007","interacts with","ELF1 (interacts with) ZNF107",,,"false","interacts with","ELF1 (interacts with) ZNF107"
"58859","601.0","interacts with","ELF1 (interacts with) AHSG",,,"false","interacts with","ELF1 (interacts with) AHSG"
"58862","702.0000000000036","interacts with","ELF1 (interacts with) LEAP2",,,"false","interacts with","ELF1 (interacts with) LEAP2"
"58865","702.0000000000036","interacts with","ELF1 (interacts with) FABP1",,,"false","interacts with","ELF1 (interacts with) FABP1"
"58868","727.25","interacts with","ELF1 (interacts with) APOC3",,,"false","interacts with","ELF1 (interacts with) APOC3"
"58872","632.636363636361","interacts with","ELF1 (interacts with) IL32",,,"false","interacts with","ELF1 (interacts with) IL32"
"58875","601.0","interacts with","ELF1 (interacts with) ASGR1",,,"false","interacts with","ELF1 (interacts with) ASGR1"
"58878","601.0","interacts with","ELF1 (interacts with) APOA2",,,"false","interacts with","ELF1 (interacts with) APOA2"
"58881","4059.66493506497","interacts with","ELF1 (interacts with) HNF1B",,,"false","interacts with","ELF1 (interacts with) HNF1B"
"58884","1386.6000000000145","interacts with","ELF1 (interacts with) SLC7A7",,,"false","interacts with","ELF1 (interacts with) SLC7A7"
"58888","34199.48790653793","interacts with","ELF1 (interacts with) FOXA2",,,"false","interacts with","ELF1 (interacts with) FOXA2"
"58891","601.0","interacts with","ELF1 (interacts with) APOB",,,"false","interacts with","ELF1 (interacts with) APOB"
"58894","601.0","interacts with","ELF1 (interacts with) VTN",,,"false","interacts with","ELF1 (interacts with) VTN"
"58897","702.0000000000036","interacts with","ELF1 (interacts with) EFNA1",,,"false","interacts with","ELF1 (interacts with) EFNA1"
"58900","601.0","interacts with","ELF1 (interacts with) AGT",,,"false","interacts with","ELF1 (interacts with) AGT"
"58903","13540.690440115519","interacts with","ELF1 (interacts with) FOXA1",,,"false","interacts with","ELF1 (interacts with) FOXA1"
"58906","727.25","interacts with","ELF1 (interacts with) AASS",,,"false","interacts with","ELF1 (interacts with) AASS"
"58909","702.0000000000036","interacts with","ELF1 (interacts with) FGA",,,"false","interacts with","ELF1 (interacts with) FGA"
"58912","727.25","interacts with","ELF1 (interacts with) PDZK1",,,"false","interacts with","ELF1 (interacts with) PDZK1"
"58915","888.107142857153","interacts with","ELF1 (interacts with) SULT1A2",,,"false","interacts with","ELF1 (interacts with) SULT1A2"
"58918","1325.2666666666607","interacts with","ELF1 (interacts with) LAMB2",,,"false","interacts with","ELF1 (interacts with) LAMB2"
"58921","850.333333333336","interacts with","ELF1 (interacts with) EPHX2",,,"false","interacts with","ELF1 (interacts with) EPHX2"
"58924","1630.2666666666705","interacts with","ELF1 (interacts with) NT5DC2",,,"false","interacts with","ELF1 (interacts with) NT5DC2"
"58927","1024.2499999999911","interacts with","ELF1 (interacts with) CAPG",,,"false","interacts with","ELF1 (interacts with) CAPG"
"58930","1024.2499999999911","interacts with","ELF1 (interacts with) MAF",,,"false","interacts with","ELF1 (interacts with) MAF"
"58934","910.6071428571479","interacts with","ELF1 (interacts with) MBNL2",,,"false","interacts with","ELF1 (interacts with) MBNL2"
"58937","1533.333333333341","interacts with","ELF1 (interacts with) CCS",,,"false","interacts with","ELF1 (interacts with) CCS"
"58940","787.1875000000047","interacts with","ELF1 (interacts with) APOC2",,,"false","interacts with","ELF1 (interacts with) APOC2"
"58943","601.0","interacts with","ELF1 (interacts with) GEMIN2",,,"false","interacts with","ELF1 (interacts with) GEMIN2"
"58946","685.1666666666642","interacts with","ELF1 (interacts with) ASNSD1",,,"false","interacts with","ELF1 (interacts with) ASNSD1"
"58949","2418.3333333333308","interacts with","ELF1 (interacts with) PCGF6",,,"false","interacts with","ELF1 (interacts with) PCGF6"
"58952","727.25","interacts with","ELF1 (interacts with) DSN1",,,"false","interacts with","ELF1 (interacts with) DSN1"
"58955","620.2857142857122","interacts with","ELF1 (interacts with) CENPE",,,"false","interacts with","ELF1 (interacts with) CENPE"
"58958","702.0000000000036","interacts with","ELF1 (interacts with) MT1X",,,"false","interacts with","ELF1 (interacts with) MT1X"
"58961","601.0","interacts with","ELF1 (interacts with) SKIL",,,"false","interacts with","ELF1 (interacts with) SKIL"
"58964","989.9682539682404","interacts with","ELF1 (interacts with) HMGN3",,,"false","interacts with","ELF1 (interacts with) HMGN3"
"58968","958.9924242424152","interacts with","ELF1 (interacts with) IQGAP2",,,"false","interacts with","ELF1 (interacts with) IQGAP2"
