"BEND_MAP_ID","EdgeBetweenness","interaction","name","node::Source_selected","node::Target_selected","selected","shared interaction","shared name"
"64585","262219.0068542589","interacts with","EPAS1 (interacts with) FOSL2","false","false","false","interacts with","EPAS1 (interacts with) FOSL2"
"64575","95813.65981240915","interacts with","EPAS1 (interacts with) MAFF","false","false","false","interacts with","EPAS1 (interacts with) MAFF"
"72889","325551.77777777927","interacts with","ATF3 (interacts with) FOSL2","false","false","false","interacts with","ATF3 (interacts with) FOSL2"
"71074","584.0","interacts with","MYC (interacts with) G6PC3","false","false","false","interacts with","MYC (interacts with) G6PC3"
"71072","584.0","interacts with","MYC (interacts with) NOP16","false","false","false","interacts with","MYC (interacts with) NOP16"
"71070","739.2499999999997","interacts with","MYC (interacts with) AIMP2","false","false","false","interacts with","MYC (interacts with) AIMP2"
"71068","692.0000000000034","interacts with","MYC (interacts with) WDR43","false","false","false","interacts with","MYC (interacts with) WDR43"
"71066","701.141414141417","interacts with","MYC (interacts with) PEMT","false","false","false","interacts with","MYC (interacts with) PEMT"
"71064","640.700000000007","interacts with","MYC (interacts with) TBRG4","false","false","false","interacts with","MYC (interacts with) TBRG4"
"71062","584.0","interacts with","MYC (interacts with) NOL10","false","false","false","interacts with","MYC (interacts with) NOL10"
"71060","692.0000000000034","interacts with","MYC (interacts with) MTHFD2","false","false","false","interacts with","MYC (interacts with) MTHFD2"
"71056","692.0000000000034","interacts with","MYC (interacts with) ATIC","false","false","false","interacts with","MYC (interacts with) ATIC"
"71054","918.8750000000028","interacts with","MYC (interacts with) GPN3","false","false","false","interacts with","MYC (interacts with) GPN3"
"71052","886.5416666666599","interacts with","MYC (interacts with) YBX1","false","false","false","interacts with","MYC (interacts with) YBX1"
"71048","979.6666666666799","interacts with","MYC (interacts with) EBNA1BP2","false","false","false","interacts with","MYC (interacts with) EBNA1BP2"
"71046","584.0","interacts with","MYC (interacts with) PAK1IP1","false","false","false","interacts with","MYC (interacts with) PAK1IP1"
"71044","584.0","interacts with","MYC (interacts with) POLR1C","false","false","false","interacts with","MYC (interacts with) POLR1C"
"71042","584.0","interacts with","MYC (interacts with) DTWD1","false","false","false","interacts with","MYC (interacts with) DTWD1"
"71040","702.6666666666696","interacts with","MYC (interacts with) DPAGT1","false","false","false","interacts with","MYC (interacts with) DPAGT1"
"71038","972.565476190485","interacts with","MYC (interacts with) ZNF202","false","false","false","interacts with","MYC (interacts with) ZNF202"
"71036","584.0","interacts with","MYC (interacts with) NDUFAF5","false","false","false","interacts with","MYC (interacts with) NDUFAF5"
"71034","1066.1205128205195","interacts with","MYC (interacts with) ZNF121","false","false","false","interacts with","MYC (interacts with) ZNF121"
"71032","842.9666666666653","interacts with","MYC (interacts with) ZNF146","false","false","false","interacts with","MYC (interacts with) ZNF146"
"71030","643.1000000000071","interacts with","MYC (interacts with) WDR12","false","false","false","interacts with","MYC (interacts with) WDR12"
"71028","1560.6142857142897","interacts with","MYC (interacts with) HMGA1","false","false","false","interacts with","MYC (interacts with) HMGA1"
"71026","584.0","interacts with","MYC (interacts with) HERPUD1","false","false","false","interacts with","MYC (interacts with) HERPUD1"
"71024","781.9999999999908","interacts with","MYC (interacts with) PRMT3","false","false","false","interacts with","MYC (interacts with) PRMT3"
"71022","955.9538461538339","interacts with","MYC (interacts with) SF3B3","false","false","false","interacts with","MYC (interacts with) SF3B3"
"71020","804.023809523814","interacts with","MYC (interacts with) WDR74","false","false","false","interacts with","MYC (interacts with) WDR74"
"71018","584.0","interacts with","MYC (interacts with) PPIL1","false","false","false","interacts with","MYC (interacts with) PPIL1"
"71016","791.5","interacts with","MYC (interacts with) ALG8","false","false","false","interacts with","MYC (interacts with) ALG8"
"71014","905.5142857142761","interacts with","MYC (interacts with) DPH5","false","false","false","interacts with","MYC (interacts with) DPH5"
"71012","1319.6476190476142","interacts with","MYC (interacts with) GEMIN8","false","false","false","interacts with","MYC (interacts with) GEMIN8"
"71010","828.000000000006","interacts with","MYC (interacts with) ZWILCH","false","false","false","interacts with","MYC (interacts with) ZWILCH"
"71008","681.3333333333311","interacts with","MYC (interacts with) RUVBL1","false","false","false","interacts with","MYC (interacts with) RUVBL1"
"71006","748.0000000000034","interacts with","MYC (interacts with) NUP35","false","false","false","interacts with","MYC (interacts with) NUP35"
"71004","783.4444444444351","interacts with","MYC (interacts with) TP53","false","false","false","interacts with","MYC (interacts with) TP53"
"71002","584.0","interacts with","MYC (interacts with) TFRC","false","false","false","interacts with","MYC (interacts with) TFRC"
"71000","584.0","interacts with","MYC (interacts with) IMP4","false","false","false","interacts with","MYC (interacts with) IMP4"
"70998","791.5","interacts with","MYC (interacts with) EEF1E1","false","false","false","interacts with","MYC (interacts with) EEF1E1"
"70996","719.0","interacts with","MYC (interacts with) AEBP2","false","false","false","interacts with","MYC (interacts with) AEBP2"
"70994","1354.9166666666533","interacts with","MYC (interacts with) FBL","false","false","false","interacts with","MYC (interacts with) FBL"
"70992","584.0","interacts with","MYC (interacts with) MXD1","false","false","false","interacts with","MYC (interacts with) MXD1"
"70990","1163.771428571414","interacts with","MYC (interacts with) CENPF","false","false","false","interacts with","MYC (interacts with) CENPF"
"70988","584.0","interacts with","MYC (interacts with) PRMT5","false","false","false","interacts with","MYC (interacts with) PRMT5"
"70986","1649.699999999979","interacts with","MYC (interacts with) CTSC","false","false","false","interacts with","MYC (interacts with) CTSC"
"70982","1201.6000000000001","interacts with","MYC (interacts with) ANAPC7","false","false","false","interacts with","MYC (interacts with) ANAPC7"
"70980","834.8750000000057","interacts with","MYC (interacts with) DR1","false","false","false","interacts with","MYC (interacts with) DR1"
"70978","751.0999999999949","interacts with","MYC (interacts with) MCM7","false","false","false","interacts with","MYC (interacts with) MCM7"
"70976","1709.1666666666572","interacts with","MYC (interacts with) MTHFD1","false","false","false","interacts with","MYC (interacts with) MTHFD1"
"70974","962.2857142857264","interacts with","MYC (interacts with) CTPS1","false","false","false","interacts with","MYC (interacts with) CTPS1"
"70972","584.0","interacts with","MYC (interacts with) AURKA","false","false","false","interacts with","MYC (interacts with) AURKA"
"70970","720.874999999991","interacts with","MYC (interacts with) BRIX1","false","false","false","interacts with","MYC (interacts with) BRIX1"
"70968","648.4444444444362","interacts with","MYC (interacts with) TIMM9","false","false","false","interacts with","MYC (interacts with) TIMM9"
"70966","822.1111111111085","interacts with","MYC (interacts with) DCAF13","false","false","false","interacts with","MYC (interacts with) DCAF13"
"70964","740.5833333333329","interacts with","MYC (interacts with) CDK4","false","false","false","interacts with","MYC (interacts with) CDK4"
"70962","584.0","interacts with","MYC (interacts with) NIP7","false","false","false","interacts with","MYC (interacts with) NIP7"
"70960","875.7321428571388","interacts with","MYC (interacts with) NUP88","false","false","false","interacts with","MYC (interacts with) NUP88"
"70958","646.9999999999918","interacts with","MYC (interacts with) C19orf48","false","false","false","interacts with","MYC (interacts with) C19orf48"
"70956","584.0","interacts with","MYC (interacts with) ICE2","false","false","false","interacts with","MYC (interacts with) ICE2"
"70954","584.0","interacts with","MYC (interacts with) PA2G4","false","false","false","interacts with","MYC (interacts with) PA2G4"
"70952","837.8750000000058","interacts with","MYC (interacts with) ACOT7","false","false","false","interacts with","MYC (interacts with) ACOT7"
"70950","667.9571428571443","interacts with","MYC (interacts with) BIRC5","false","false","false","interacts with","MYC (interacts with) BIRC5"
"70946","584.0","interacts with","MYC (interacts with) EFTUD2","false","false","false","interacts with","MYC (interacts with) EFTUD2"
