,source_gene,target_gene
0,GEMIN8,JUND
1,GEMIN8,MAZ
2,GEMIN8,REST
3,GEMIN8,MYC
4,GEMIN8,CREB1
5,GEMIN8,CEBPD
6,GEMIN8,RFX5
7,GEMIN8,FOSL2
8,GEMIN8,MYBL2
9,FLRT2,JUND
10,FLRT2,MAZ
11,FLRT2,MYC
12,FLRT2,CREB1
13,FLRT2,CEBPD
14,FLRT2,RFX5
15,FLRT2,FOSL2
16,FLRT2,MYBL2
17,FLRT2,ELF1
18,ACOX2,JUND
19,ACOX2,MAZ
20,ACOX2,REST
21,ACOX2,MYC
22,ACOX2,CREB1
23,ACOX2,CEBPD
24,ACOX2,RFX5
25,ACOX2,FOSL2
26,ACOX2,MYBL2
27,ACOX2,ELF1
28,C12orf10,JUND
29,C12orf10,MAZ
30,C12orf10,REST
31,C12orf10,MYC
32,C12orf10,CREB1
33,C12orf10,CEBPD
34,C12orf10,RFX5
35,C12orf10,FOSL2
36,C12orf10,MYBL2
37,C12orf10,ELF1
38,GYG1,JUND
39,GYG1,MAZ
40,GYG1,REST
41,GYG1,MYC
42,GYG1,CREB1
43,GYG1,CEBPD
44,GYG1,RFX5
45,GYG1,FOSL2
46,GYG1,MYBL2
47,GYG1,ELF1
48,DSN1,JUND
49,DSN1,MAZ
50,DSN1,REST
51,DSN1,MYC
52,DSN1,CREB1
53,DSN1,CEBPD
54,DSN1,RFX5
55,DSN1,FOSL2
56,DSN1,MYBL2
57,DSN1,ELF1
58,CREB3L4,JUND
59,CREB3L4,MAZ
60,CREB3L4,REST
61,CREB3L4,MYC
62,CREB3L4,CREB1
63,CREB3L4,CEBPD
64,CREB3L4,RFX5
65,CREB3L4,FOSL2
66,CREB3L4,MYBL2
67,EXOSC3,JUND
68,EXOSC3,MAZ
69,EXOSC3,REST
70,EXOSC3,MYC
71,EXOSC3,CREB1
72,EXOSC3,CEBPD
73,EXOSC3,RFX5
74,EXOSC3,FOSL2
75,EXOSC3,MYBL2
76,EXOSC3,ELF1
77,MEP1A,JUND
78,MEP1A,MAZ
79,MEP1A,REST
80,MEP1A,MYC
81,MEP1A,CREB1
82,MEP1A,CEBPD
83,MEP1A,RFX5
84,MEP1A,FOSL2
85,MEP1A,MYBL2
86,MEP1A,ELF1
87,UQCC1,JUND
88,UQCC1,CREB1
89,UQCC1,CEBPD
90,UQCC1,FOSL2
91,CCNB1,MAFF
92,CCNB1,JUND
93,CCNB1,MAZ
94,CCNB1,REST
95,CCNB1,MYC
96,CCNB1,CREB1
97,CCNB1,CEBPD
98,CCNB1,RFX5
99,CCNB1,FOSL2
100,CCNB1,MYBL2
101,CCNB1,ELF1
102,PSAT1,JUND
103,PSAT1,MAZ
104,PSAT1,REST
105,PSAT1,MYC
106,PSAT1,CREB1
107,PSAT1,CEBPD
108,PSAT1,RFX5
109,PSAT1,FOSL2
110,PSAT1,MYBL2
111,PSAT1,ELF1
112,ANG,MAFF
113,ANG,JUND
114,ANG,MAZ
115,ANG,REST
116,ANG,MYC
117,ANG,CREB1
118,ANG,CEBPD
119,ANG,RFX5
120,ANG,FOSL2
121,ANG,MYBL2
122,ANG,ELF1
123,WDR54,MAFF
124,WDR54,JUND
125,WDR54,MAZ
126,WDR54,REST
127,WDR54,MYC
128,WDR54,CREB1
129,WDR54,CEBPD
130,WDR54,RFX5
131,WDR54,FOSL2
132,WDR54,MYBL2
133,WDR54,ELF1
134,ZNF217,JUND
135,ZNF217,CREB1
136,ZNF217,CEBPD
137,ZNF217,FOSL2
138,ZNF850,JUND
139,ZNF850,MAZ
140,ZNF850,REST
141,ZNF850,MYC
142,ZNF850,CREB1
143,ZNF850,CEBPD
144,ZNF850,RFX5
145,ZNF850,FOSL2
146,ZNF850,MYBL2
147,ZNF850,ELF1
148,PLA2G12B,JUND
149,PLA2G12B,MAZ
150,PLA2G12B,REST
151,PLA2G12B,MYC
152,PLA2G12B,CREB1
153,PLA2G12B,CEBPD
154,PLA2G12B,RFX5
155,PLA2G12B,FOSL2
156,PLA2G12B,MYBL2
157,PLA2G12B,ELF1
158,ZNF560,JUND
159,ZNF560,MAZ
160,ZNF560,REST
161,ZNF560,MYC
162,ZNF560,CREB1
163,ZNF560,CEBPD
164,ZNF560,RFX5
165,ZNF560,FOSL2
166,ZNF560,MYBL2
167,ZNF560,ELF1
168,ZNF227,JUND
169,ZNF227,MAZ
170,ZNF227,REST
171,ZNF227,MYC
172,ZNF227,CREB1
173,ZNF227,CEBPD
174,ZNF227,RFX5
175,ZNF227,FOSL2
176,PAFAH1B3,JUND
177,PAFAH1B3,MAZ
178,PAFAH1B3,REST
179,PAFAH1B3,MYC
180,PAFAH1B3,CREB1
181,PAFAH1B3,CEBPD
182,PAFAH1B3,RFX5
183,PAFAH1B3,FOSL2
184,PAFAH1B3,MYBL2
185,PAFAH1B3,ELF1
186,SALL4,JUND
187,SALL4,MAZ
188,SALL4,REST
189,SALL4,MYC
190,SALL4,CREB1
191,SALL4,CEBPD
192,SALL4,RFX5
193,SALL4,FOSL2
194,SALL4,MYBL2
195,SALL4,ELF1
196,PITX1,JUND
197,PITX1,CREB1
198,PITX1,CEBPD
199,PITX1,RFX5
200,PITX1,FOSL2
201,THAP5,JUND
202,THAP5,MAZ
203,THAP5,REST
204,THAP5,MYC
205,THAP5,CREB1
206,THAP5,CEBPD
207,THAP5,RFX5
208,THAP5,FOSL2
209,THAP5,MYBL2
210,THAP5,ELF1
211,CENPW,MAFF
212,CENPW,JUND
213,CENPW,FOXA1
214,CENPW,MAZ
215,CENPW,REST
216,CENPW,MYC
217,CENPW,CREB1
218,CENPW,CEBPD
219,CENPW,RFX5
220,CENPW,FOSL2
221,CENPW,MYBL2
222,CENPW,ELF1
223,PLRG1,JUND
224,PLRG1,MAZ
225,PLRG1,REST
226,PLRG1,MYC
227,PLRG1,CREB1
228,PLRG1,CEBPD
229,PLRG1,RFX5
230,PLRG1,FOSL2
231,PLRG1,MYBL2
232,PLRG1,ELF1
233,MAFF,CCNB1
234,MAFF,ANG
235,MAFF,WDR54
236,MAFF,CENPW
237,MAFF,MAFF
238,MAFF,RFC2
239,MAFF,DNASE1
240,MAFF,CKAP2
241,MAFF,JUND
242,MAFF,YBX1
243,MAFF,F3
244,MAFF,EEF1E1
245,MAFF,TEAD4
246,MAFF,APOC2
247,MAFF,ACADVL
248,MAFF,CTSC
249,MAFF,CETN3
250,MAFF,TET1
251,MAFF,FBL
252,MAFF,CACYBP
253,MAFF,ANLN
254,MAFF,DLGAP5
255,MAFF,ZNF770
256,MAFF,FABP1
257,MAFF,ECT2
258,MAFF,SLC7A6
259,MAFF,DPYSL2
260,MAFF,CDK1
261,MAFF,C12orf45
262,MAFF,ANP32E
263,MAFF,CDKN3
264,MAFF,BUB1
265,MAFF,NUP93
266,MAFF,AURKB
267,MAFF,LEAP2
268,MAFF,PRIM1
269,MAFF,MELK
270,MAFF,MCM3
271,MAFF,UCP2
272,MAFF,CENPE
273,MAFF,NUP37
274,MAFF,MCM4
275,MAFF,VRK1
276,MAFF,DROSHA
277,MAFF,JUN
278,MAFF,GPN3
279,MAFF,MAF
280,MAFF,MXD1
281,MAFF,FOXA1
282,MAFF,GSN
283,MAFF,MCM7
284,MAFF,EXOSC9
285,MAFF,CENPK
286,MAFF,ZWINT
287,MAFF,CENPU
288,MAFF,PRPS2
289,MAFF,HNRNPH2
290,MAFF,MAZ
291,MAFF,RRM2
292,MAFF,RFC4
293,MAFF,RUVBL1
294,MAFF,RRM1
295,MAFF,ICE2
296,MAFF,UBE2T
297,MAFF,UTP18
298,MAFF,ATF3
299,MAFF,REST
300,MAFF,MYC
301,MAFF,CREB1
302,MAFF,CDC20
303,MAFF,KIAA0101
304,MAFF,PRKCE
305,MAFF,HMGB2
306,MAFF,IL6ST
307,MAFF,SMC4
308,MAFF,FANCD2
309,MAFF,APOB
310,MAFF,NCAPG
311,MAFF,AEBP2
312,MAFF,HMGA1
313,MAFF,ADNP
314,MAFF,EPAS1
315,MAFF,HAT1
316,MAFF,C19orf48
317,MAFF,ZNF121
318,MAFF,DGAT1
319,MAFF,NUSAP1
