"BEND_MAP_ID","EdgeBetweenness","interaction","name","node::Source_selected","node::Target_selected","selected","shared interaction","shared name"
"159","21239.433333333345","interacts with","WDR43 (interacts with) ELF1","false","false","false","interacts with","WDR43 (interacts with) ELF1"
"163","26050.413492063522","interacts with","WDR43 (interacts with) MYBL2","false","false","false","interacts with","WDR43 (interacts with) MYBL2"
"167","38664.195634920645","interacts with","WDR43 (interacts with) FOSL2","false","false","false","interacts with","WDR43 (interacts with) FOSL2"
"171","33393.41230158754","interacts with","WDR43 (interacts with) RFX5","false","false","false","interacts with","WDR43 (interacts with) RFX5"
"175","34018.61230158773","interacts with","WDR43 (interacts with) CEBPD","false","false","false","interacts with","WDR43 (interacts with) CEBPD"
"179","43266.36230158716","interacts with","WDR43 (interacts with) CREB1","false","false","false","interacts with","WDR43 (interacts with) CREB1"
"183","29688.109920635485","interacts with","WDR43 (interacts with) MYC","false","false","false","interacts with","WDR43 (interacts with) MYC"
"187","25773.167063491954","interacts with","WDR43 (interacts with) REST","false","false","false","interacts with","WDR43 (interacts with) REST"
"191","27138.93134920661","interacts with","WDR43 (interacts with) MAZ","false","false","false","interacts with","WDR43 (interacts with) MAZ"
"195","42745.36230158719","interacts with","WDR43 (interacts with) JUND","false","false","true","interacts with","WDR43 (interacts with) JUND"
"199","152210.0","interacts with","ZNF300 (interacts with) CREB1","false","false","false","interacts with","ZNF300 (interacts with) CREB1"
"201","151228.0","interacts with","ZNF300 (interacts with) JUND","false","false","true","interacts with","ZNF300 (interacts with) JUND"
"207","1316.333333333331","interacts with","FOXA1 (interacts with) NUF2","false","false","false","interacts with","FOXA1 (interacts with) NUF2"
"209","18257.11515151512","interacts with","FOXA1 (interacts with) ELF1","false","false","false","interacts with","FOXA1 (interacts with) ELF1"
"213","1159.8461538461443","interacts with","FOXA1 (interacts with) CEBPZ","false","false","false","interacts with","FOXA1 (interacts with) CEBPZ"
