Gene1,Gene2,Type
AHR,BRCA1,1
AHR,FOS,1
AHR,MT2A,1
AHR,MYC,1
AHR,PCNA,1
ARID3A,CDC6,1
ARID3A,CDK1,1
ARNTL,BHLHE40,1
ATF1,GABPA,1
ATF1,LDHA,1
ATF1,MITF,1
ATF1,TOP2A,1
ATF1,USP7,1
ATF3,ASNS,1
ATF3,DDIT3,1
ATF3,TP53,1
ATF4,ASNS,1
ATF4,ATF3,1
ATF4,ATG5,1
ATF4,CCL2,1
ATF4,DDIT3,1
ATF4,DDIT4,1
ATF4,IRF7,1
ATF4,NDC80,1
ATF5,CREB1,1
ATF5,EGR1,1
BCL6,CHEK1,1
BCL6,LITAF,1
BCL6,MYC,1
BCL6,NFKB1,1
BCL6,XBP1,1
BRCA1,BRCA2,1
BRCA1,CCNB1,1
BRCA1,DDB2,1
BRCA1,DDIT3,1
BRCA1,EGR1,1
BRCA1,FOS,1
BRCA1,HMGA2,1
BRCA1,IRF7,1
BRCA1,IRF9,1
BRCA1,MAD2L1,1
BRCA1,MYC,1
BRCA1,STAT2,1
BRCA1,TFF1,1
CDC5L,PLRG1,1
CDX2,ACAT2,1
CDX2,MEP1A,1
CDX2,SP1,1
CEBPA,AFP,1
CEBPA,ALB,1
CEBPA,CCL2,1
CEBPA,FN1,1
CEBPA,HSD17B11,1
CEBPA,MYC,1
CEBPA,SPP1,1
CEBPD,C3,1
CEBPD,DDIT3,1
CEBPD,PDGFRA,1
CEBPD,POU5F1,1
CEBPZ,MLH1,1
CEBPZ,SOX9,1
CLOCK,BHLHE40,1
CLOCK,NR3C1,1
CRABP2,RARA,1
CREB1,CXCR4,1
CREB1,FOS,1
CREB1,FOXA1,1
CREB1,GABPA,1
CREB1,GRPR,1
CREB1,JUN,1
CREB1,LAPTM4B,1
CREB1,MITF,1
CREB1,NDC80,1
CREB1,NR2F6,1
CREB1,NR5A2,1
CREB1,POLD2,1
CREB1,PSEN1,1
CREB1,SOX9,1
CREB1,STMN1,1
CREB3,CXCR4,1
CTCF,ANG,1
CTCF,BCL6,1
CTCF,BRCA1,1
CTCF,MYC,1
CTCF,NANOG,1
CTCF,PAX6,1
CUX1,ECT2,1
