Gene1,Gene2
AHR,TEPSIN
AHR,NDUFAF8
AHR,SP2
AHR,ARRDC4
AHR,ZFP869
AHR,SHARPIN
AHR,MAF1
AHR,HIST1H2BC
AHR,HIST1H2AC
AHR,KATNB1
AHR,CIC
AHR,TOM1
AHR,FLAD1
AHR,FAM53C
AHR,G3BP1
AHR,SP1
AHR,ATP5B
AHR,HNRNPC
AHR,ARID4A
AHR,RAB5B
AHR,ANKHD1
AHR,ZFP687
AHR,ABHD2
AHR,OSBP
ATF3,PSMB2
ATF3,9930111J21RIK2
ATF3,9930111J21RIK1
ATF3,KNL1
ATF3,MICAL1
ATF3,MORF4L1
ATF3,NUP133
ATF3,ZGRF1
ATF3,LARP7
ATF3,UBE4A
ATF3,UBR4
ATF3,SDE2
ATF3,PLAA
ATF3,FAM206A
ATF3,ELP1
ATF3,XPNPEP3
ATF3,ST13
ATF3,TYSND1
ATF3,RPL9
ATF3,LIAS
ATF3,RLF
ATF3,NUP214
ATF3,NELFA
ATF3,NUP153
ATF3,BDP1
ATF3,MED6
ATF3,GUF1
ATF3,WDR61
ATF3,STK19
ATF3,DXO
ATF3,NFX1
ATF3,FANCD2
ATF3,EMC3
ATF3,CNOT1
ATF3,BC003965
ATF3,MAGOHB
ATF3,MRPL2
ATF3,KLC4
ATF3,PPIL4
ATF3,SMU1
ATF3,MECR
ATF3,SPTLC1
ATF3,KIF2C
ATF3,PINX1
ATF3,CDADC1
ATF3,WDR74
ATF3,HAUS5
ATF3,TUBGCP6
ATF3,GLE1
ATF3,GPAM
ATF4,CHAC1
ATF4,YARS
ATF4,S100PBP
ATF4,KNL1
ATF4,ABRAXAS1
ATF4,ARL14EP
ATF4,SARS
ATF4,SLC38A7
ATF4,PYCR1
ATF4,KIFC5B
ATF4,IARS
ATF4,ELMSAN1
ATF4,MARS
ATF4,SOAT2
ATF4,SLC7A11
ATF4,STK40
ATF4,RBM39
ATF4,EIF3C
ATF4,AARS
ATF4,SLC1A4
ATF4,NARS
ATF4,GOT1
ATF4,CCP110
ATF4,PDAP1
ATF4,BUD31
ATF4,GARS
ATF4,GRAMD1B
ATF4,CLCN3
ATF4,NUPR1
ATF4,PPP1R15B
ATF4,ANK2
ATF4,ATF3
ATF4,TRIB3
ATF4,EIF4EBP1
ATF4,PBLD2
ATF4,HNRNPH3
ATF4,COASY
ATF4,YWHAG
ATF4,HERPUD1
ATF4,EIF1
ATF4,SLC3A2
ATF4,TACO1
ATF4,IL23A
ATF4,TXNDC12
ATF4,BTF3L4
ATF4,RHBDD1
ATF4,ATF6
ATF4,LARS
ATF4,ECHS1
ATF4,SMIM10L1
ATF4,SNX33
ATF4,MYD88
ATF4,ACAA1A
ATF4,CARS
ATF4,B9D2
ATF4,KIFC1
ATF4,EIF2S2
ATF4,LCN2
ATF4,LMO4
ATF4,ARID5A
ATF4,WDR25
ATF4,WARS
ATF4,RNF213
ATF4,EPRS
ATF4,ZBTB7B
ATF4,TTC9C
ATF4,HNRNPUL2
ATF4,NDRG1
ATF4,DDIT3
ATF4,STARD5
ATF4,MTHFR
ATF4,CLCN6
ATF4,LRIF1
ATF4,SLC38A2
ATF4,PPP2R5A
ATF4,RCHY1
ATF4,HSPA9
ATF4,TARS
ATF4,TMEM154
ATF4,ALDH18A1
ATF4,ATP1A3
ATF4,IAH1
ATF4,UHRF1BP1
ATF4,RBM4
ATF4,UQCRQ
ATF4,RAD21
ATF4,OGFOD1
ATF4,NUDT21
ATF4,LRRK1
ATF4,GTPBP4
ATF4,SERTAD2
ATF4,HAX1
ATF4,SLC16A14
ATF4,DNMT3L
ATF4,AFF1
ATF4,HMOX1
ATF4,VPS54
ATF4,CLN5
ATF4,ERMARD
ATF4,PLEKHH3
ATF4,SPEN
ATF4,MIA2
ATF4,LGALS3
ATF4,STK25
ATF4,TNPO1
ATF4,DHRS7
ATF4,IFITM6
ATF4,MMP19
ATF4,CCDC77
ATF4,PKMYT1
ATF4,AAED1
ATF4,RUVBL2
ATF4,GYS1
ATF4,CAST
ATF4,TGIF1
ATF4,ITGB7
ATF4,ATXN2L
ATF4,ARHGAP24
ATF4,ACTR3
ATF4,ZSCAN26
ATF4,MFSD4B3
ATF4,UGT1A6A
ATF4,GM3448
ATF4,GM3417
ATF4,ZFP672
ATF4,SH3BP5L
ATF4,VRK1
ATF4,CSDE1
ATF4,HJURP
ATF4,A730008H23RIK
ATF4,MTHFD1L
ATF4,SSU72
ATF4,CRY2
ATF4,H2AFJ
ATF4,SIRPA
ATF4,ORAI2
ATF4,CALHM6
ATF4,CIART
ATF4,ATP6V1F
ATF4,MIB2
ATF4,TCTE3
ATF4,UBR4
ATF4,GSK3A
ATF4,APBA3
ATF4,DENND2D
ATF4,USP36
ATF4,PSMB3
ATF4,ISG20
ATF4,SPRY4
ATF4,IL1R1
ATF4,9930111J21RIK2
ATF4,GPATCH3
ATF4,KLHDC10
ATF4,GM3435
ATF4,FNBP4
ATF4,D5ERTD579E
ATF4,RAD23B
ATF4,9030025P20RIK
ATF4,SIAH2
ATF4,ZBTB44
ATF4,MSMO1
ATF4,TTI2
ATF4,SAA3
ATF4,HMGN2
ATF4,IER2
ATF4,THEM4
ATF4,SPTY2D1
ATF4,HOOK2
ATF4,DHRS9
ATF4,ATG10
ATF4,ATG9A
ATF4,BMS1
ATF4,BECN1
ATF4,SYNJ2
ATF4,FANCL
ATF4,CEP295
ATF4,GSTO1
ATF4,RPIA
ATF4,DIDO1
ATF4,FBXO32
ATF4,YBX3
ATF4,SLC20A1
ATF4,ETF1
ATF4,FDXR
ATF4,TRIB1
ATF4,9930111J21RIK1
ATF4,BCL6
ATF4,SPRED1
ATF4,D16ERTD472E
ATF4,TANK
ATF4,SLC45A4
ATF4,MFAP1B
ATF4,ZFP493
ATF4,IL6RA
ATF4,DHX33
ATF4,CHEK1
ATF4,CD2BP2
ATF4,AACS
ATF4,PI16
ATF4,NSUN4
ATF4,RPS6KB2
ATF4,GALNT9
ATF4,TEX261
ATF4,WASF1
ATF4,CDC40
ATF4,TMEM41B
ATF4,HDAC5
ATF4,HAL
ATF4,DCLRE1C
ATF4,MAFF
ATF4,KIZ
ATF4,HIPK3
ATF4,AKT1S1
ATF4,NEURL4
ATF4,2810408A11RIK
ATF4,ZBED3
ATF4,TREM2
ATF4,PREPL
ATF4,CAMKMT
ATF4,SEC23IP
ATF4,TRAK1
ATF4,SPNS1
ATF4,PPM1F
ATF4,PTGS2
ATF4,TNFAIP6
ATF4,PNKP
ATF4,RPL10A
ATF4,PITPNB
ATF4,HOXA1
ATF4,FAM13B
ATF4,ACSS2
ATF4,ABHD11
ATF4,RECQL4
ATF4,LRRC14
ATF4,CTSL
ATF4,PRSS21
ATF4,FCRLB
ATF4,DUS3L
ATF4,MAN1B1
ATF4,PRR5L
ATF4,TFE3
ATF4,HYLS1
ATF4,CYP51
ATF4,IKZF5
ATF4,BBS5
ATF4,ACADSB
ATF4,DGAT2
ATF4,XBP1
ATF4,LZTFL1
ATF4,SEPT11
ATF4,CLP1
ATF4,RAB40C
ATF4,PRKAG2
ATF4,HNRNPH1
ATF4,QTRT2
ATF4,CCDC191
ATF4,ATF4
ATF4,GPR84
ATF4,COTL1
ATF4,MOCOS
ATF4,LENG9
ATF4,TUBA1C
ATF4,TMEM268
ATF4,SNX10
ATF4,PRUNE1
ATF4,MINDY1
ATF4,NFKBIL1
ATF4,ATP6V1G2
ATF4,S100A8
ATF4,OGT
ATF4,IL3RA
ATF4,PRDX6
ATF4,IL6
ATF4,DTHD1
ATF4,PCGF1
ATF4,NAT9
ATF4,PRMT3
ATF4,PAFAH1B2
ATF4,PCNP
ATF4,MOCS1
ATF4,TARM1
ATF4,ZFP35
ATF4,PDSS1
ATF4,NT5DC3
ATF4,C5AR2
ATF4,2610008E11RIK
ATF4,NFE2
ATF4,GAS2L3
ATF4,WFDC21
ATF4,TBRG1
ATF4,MPC2
ATF4,DCAF6
ATF4,RETREG1
ATF4,TGM2
ATF4,EIF4A1
ATF4,BCL10
ATF4,ZCCHC2
ATF4,RC3H2
ATF4,FGD3
ATF4,XRCC6
ATF4,DESI1
ATF4,PTCH1
ATF4,CCNI
ATF4,ILF2
ATF4,NEIL1
ATF4,NPR1
ATF4,GSTT1
ATF4,ABCC5
ATF4,TBC1D13
ATF4,RAB7
ATF4,HNRNPA3
ATF4,SRSF2
ATF4,MFSD11
ATF4,ARPIN
ATF4,2010315B03RIK
ATF4,MMP8
ATF4,FPR1
ATF4,TTLL11
ATF4,CNDP2
ATF4,SMG8
ATF4,GAS7
ATF4,CD1D2
ATF4,RAB44
ATF4,RPE
ATF4,STX18
ATF4,SPHK2
ATF4,RPL18
ATF4,AHI1
ATF4,CCDC97
ATF4,9130023H24RIK
ATF4,CDK4
ATF4,SNF8
ATF4,NFKBIZ
ATF4,COX19
ATF4,ARHGEF1
ATF4,SNX27
ATF4,NAA25
ATF4,ABCF2
ATF4,CALCRL
ATF4,TMEM87B
ATF4,KLHL24
ATF4,TOMM6
ATF4,TIMM29
ATF4,PABPC1
ATF4,CEP120
ATF4,TTC41
ATF4,TAL1
ATF4,HSP90B1
ATF4,PLEKHG1
ATF4,EID2B
ATF4,RASGRP2
ATF4,MEA1
ATF4,KLHDC3
ATF4,SF1
ATF4,VNN3
ATF4,PCF11
ATF4,SMAD6
ATF4,FUT7
ATF4,RNASE2A
ATF4,HMBS
ATF4,OXSM
ATF4,MAN2C1
ATF4,IL1RN
ATF4,CLEC4E
ATF4,ATG16L1
ATF4,MAP3K8
ATF4,RAB11FIP1
ATF4,ADAR
ATF4,CAMP
ATF4,DDX50
ATF4,RNF149
ATF4,TNFSF13B
ATF4,NUP35
ATF4,LMAN2
ATF4,THOC6
ATF4,HCFC1R1
ATF4,MTR
ATF4,CTBS
ATF4,TRIM56
ATF4,FFAR4
ATF4,FLOT1
ATF4,TMEM150B
ATF4,UGT1A6B
ATF4,AKR1B3
ATF4,CMKLR1
ATF4,DTNBP1
ATF4,USP2
ATF4,TMBIM1
ATF4,ESRRA
ATF4,SERPINI1
ATF4,PDCD10
ATF4,GPR146
ATF4,CLEC12A
ATF4,TCHHL1
ATF4,SLC33A1
ATF4,HMGXB3
ATF4,DTX4
ATF4,MAPK14
ATF4,MNT
ATF4,FAM168A
ATF4,DEDD2
ATF4,ADORA2A
ATF4,P2RY6
ATF4,SYNCRIP
ATF4,PAQR7
ATF4,KAT7
ATF4,B230307C23RIK
ATF4,ATP7B
ATF4,ALG11
ATF4,ZUP1
ATF4,HSPA14
ATF4,CDNF
ATF4,SLC15A3
ATF4,PTCD1
ATF4,CPSF4
ATF4,E4F1
ATF4,ZRSR1
ATF4,COMMD1
ATF4,TFEC
ATF4,SUMO1
ATF4,GPR153
ATF4,AKT2
ATF4,MNDAL
ATF4,MEIS1
ATF4,CHPT1
ATF4,DEGS1
ATF4,AP5S1
ATF4,MT2
ATF4,GPRIN3
ATF4,NLRP3
ATF4,0610010K14RIK
ATF4,SF3B2
ATF4,DARS2
ATF4,GCC1
ATF4,TPR
ATF4,ODR4
ATF4,MIS18BP1
ATF4,CLCF1
ATF4,GPR137B
ATF4,NT5C3
ATF4,CYP4F18
ATF4,HYOU1
ATF4,GNS
ATF4,DNPEP
ATF4,UBE2M
ATF4,HMGB2
ATF4,GLIPR2
ATF4,MARCH1
ATF4,ZFAND3
ATF4,SERPINA3G
ATF4,HK2
ATF4,CD1D1
ATF4,AI987944
ATF4,TTC26
ATF4,CCDC47
ATF4,TMEM50A
ATF4,IFNGR2
ATF4,FAM111A
ATF4,DHRS7B
ATF4,LINS1
ATF4,ARL11
ATF4,ZFP516
ATF4,MGMT
ATF4,ALDH3A2
ATF4,ZFP750
ATF4,RASSF5
ATF4,TPCN1
ATF4,SMARCAD1
ATF4,IQCD
ATF4,DHPS
ATF4,RAB30
ATF4,FRRS1
ATF4,CARD9
ATF4,PEX16
ATF4,NUB1
ATF4,LTBR
ATF4,SORBS1
ATF4,ZFP607A
ATF4,TNFSF14
ATF4,SAMHD1
ATF4,GLIPR1
ATF4,COMMD4
ATF4,1700030J22RIK
ATF4,PER1
ATF4,NAXD
ATF4,MORF4L2
ATF4,MIIP
ATF4,FV1
ATF4,ATP5L
ATF4,HRH1
ATF4,SH3BP4
ATF4,GVIN1
ATF4,GM4070
ATF4,NDUFA13
ATF4,NARS2
ATF4,LRMDA
ATF4,KLRA2
ATF4,C3
ATF4,ORM1
ATF4,ANGPTL8
ATF4,SBF2
ATF4,RHOQ
ATF4,GCH1
ATF4,RELCH
ATF4,PIGN
ATF4,OXNAD1
ATF4,DPH3
ATF4,DLGAP4
ATF4,IRAK3
ATF4,ATP13A3
ATF4,CCRL2
ATF4,TRIM12A
ATF4,TCF3
ATF4,HSPA4
ATF4,MCM3
ATF4,E2F8
ATF4,HNRNPF
ATF4,HP
ATF4,FBXO42
ATF4,EHD1
ATF4,ATRNL1
ATF4,SMPD3
ATF4,MLLT11
ATF4,CDC42SE1
ATF4,SOS2
ATF4,LDHB
ATF4,GOSR1
ATF4,MARK2
ATF4,CTSE
ATF4,CERS2
ATF4,ACOT1
ATF4,XDH
ATF4,CYTH1
ATF4,RAB1A
ATF4,UGDH
ATF4,SIRPB1B
ATF4,MBNL1
ATF4,GTF2F1
ATF4,TIMM8B
ATF4,SMAD1
ATF4,SDHD
ATF4,IDS
ATF4,SPOP
ATF4,RAB7B
ATF4,TRIM13
ATF4,SLC35E3
ATF4,DRAM1
ATF4,PLSCR4
ATF4,WDR90
ATF4,CABYR
ATF4,LRRC61
ATF4,KLF5
ATF4,CLEC2D
ATF4,TECR
ATF4,SLC6A19
ATF4,PRMT5
ATF4,ASGR2
ATF4,BRAP
ATF4,ACAD10
ATF4,COLGALT1
ATF4,JMJD8
ATF4,BPIFC
ATF4,FLNA
ATF4,TPD52
ATF4,LRRC73
ATF4,WIPF1
ATF4,CLDN12
ATF4,GPAT3
ATF4,CDV3
ATF4,FAM161A
ATF4,ERO1L
ATF4,CNPY3
ATF4,ANAPC15
ATF4,1110012L19RIK
ATF4,SMARCA2
ATF4,CCNL1
ATF4,ZMAT5
ATF4,UQCR10
ATF4,SUCO
ATF4,CCND2
ATF4,HIST1H3F
ATF4,HIST1H2BH
ATF4,ELMO2
ATF4,DCAF11
ATF4,CHIT1
ATF4,STAT1
ATF4,MALT1
ATF4,TSSK6
ATF4,TMED2
ATF4,HIST2H2AA2
ATF4,HIST2H2AA1
ATF4,CCDC180
ATF4,ZNRF1
ATF4,ZFP617
ATF4,NDUFS7
ATF4,GBP7
ATF4,DOCK2
ATF4,TMC6
ATF4,RIOK1
ATF4,IFITM2
ATF4,CSF3
ATF4,CAGE1
ATF4,TCTEX1D2
ATF4,D230025D16RIK
