,Index,Correlation,P_value
0,ARID1A,0.027257235549123553,0.003442963440948361
1,JUN,0.04308004786527617,3.755441076920676e-06
2,ARNT,0.0020251655356803835,0.8279799889242047
3,RFX5,0.10273689445122891,2.130854735107046e-28
4,USF1,0.08872422576509624,1.447760110121417e-21
5,ATF3,-0.0538421808762434,7.414261668090036e-09
6,FOSL2,-0.027204229281044004,0.0035064522332054976
7,CEBPZ,0.039726617840972964,2.006169193178924e-05
8,EPAS1,0.0008305066892058242,0.9289942312497019
9,CREB1,0.10875134395311827,1.2252989989429511e-31
10,BHLHE40,-0.019238382984779347,0.03897992861552938
11,NR2C2,0.0074435602089624004,0.4244773369075471
12,SATB1,0.03304253857085877,0.00039066480350108423
13,SMARCC1,0.10007525514265585,5.050490058155753e-27
14,RUVBL1,0.005380370775439585,0.5637380594348194
15,MBD4,0.1366219093228192,4.252903269776867e-49
16,PPARGC1A,-0.0074945830346268396,0.4213089292542627
17,REST,0.12428530991032531,7.175199566298076e-41
18,NIPBL,-0.021139835406927657,0.0232999670096158
19,NR3C1,-0.014748835102632906,0.11351681854696852
20,SRF,0.0374437677960465,5.844871643303646e-05
21,HDAC2,0.043464427523338026,3.0745166114248753e-06
22,ARID1B,0.0011537081121337732,0.9014825992777692
23,TBP,0.15857012836073744,1.0097860518817793e-65
24,NRF1,0.07624209891102472,2.5602066689547966e-16
25,EZH2,-0.022398245194874645,0.016236712882917115
26,CEBPD,-0.04305089010436687,3.812610969059908e-06
27,RAD21,-0.04902137691069837,1.417410214788565e-07
28,MYC,0.12497512790026871,2.6110212394037164e-41
29,HSF1,0.0442914185357687,1.988009887857394e-06
30,SMARCA2,0.04037521541453083,1.4650467853896634e-05
31,RXRA,0.04537285966942505,1.111196053927938e-06
32,TAF3,0.1269696996282477,1.3596737920355046e-42
33,MXI1,0.00603933676253344,0.516982032644629
34,SMC3,-0.028541153588132574,0.002191413080465617
35,TCF7L2,-0.03256599438161625,0.00047381618454644215
36,ESRRA,0.035983418997767254,0.00011239855603589925
37,TEAD4,0.013520236458133442,0.14685285716291058
38,ARID2,0.0047344239770286895,0.6114609799069152
39,MCRS1,0.08006043761092037,7.698269377745242e-18
40,SP1,0.07516766611023167,6.65749457200042e-16
41,ELF1,-0.05763877745942815,6.032685126876326e-10
42,FOXA1,0.01514181024304363,0.1042150642921919
43,HIF1A,0.014868843126216736,0.1106093365919977
44,MAX,-0.019735502766478313,0.03419598906952828
45,YY1,0.1492204061964636,2.5093633187381362e-58
46,RCOR1,0.008169756889688762,0.3807042290039821
47,INO80,0.03301759690349008,0.00039465464769242284
48,TCF12,0.051536463762244446,3.141718975512893e-08
49,SIN3A,0.13356112532232017,5.550270605738058e-47
50,CHD2,-0.05333412597343593,1.0244454985585303e-08
51,NR2F2,-0.0392921591927857,2.469901029883153e-05
52,MAZ,0.0626526742551247,1.7081852916595906e-11
53,CTCF,-0.003165886483565642,0.7340908847444965
54,TP53,-0.005852966370788937,0.5299992733276567
55,SREBF1,0.029910245606298985,0.0013274542366582345
56,MED1,-0.02076472868088563,0.025865903593158678
57,BRCA1,0.05627931498909682,1.5094376056702844e-09
58,SP2,0.07593224272101454,3.3772385715382253e-16
59,ARID3A,-0.024712056691484723,0.008003605781633913
60,NFIC,0.02214124222064955,0.017503121969619725
61,SMARCA4,0.022621609518509996,0.0152021955902659
62,JUND,-0.055732790996517324,2.169558772884807e-09
63,USF2,0.010975626358744986,0.23892429384212277
64,RUVBL2,0.0035222905758547727,0.7054826071500234
65,IRF3,0.05656378835183219,1.2480223728651926e-09
66,ZNF274,-0.013616400549505168,0.1439996952744959
67,FOXA2,0.017265143329284978,0.06393621347220774
68,MYBL2,0.12253645153990707,9.073162203349832e-40
69,HNF4A,0.08080195644825855,3.82243594583571e-18
70,CEBPB,0.0017086250764127703,0.8545396344629466
71,GABPA,0.13838493708153113,2.441670331759191e-50
72,SMARCB1,-0.0032620451408393674,0.726333919929543
73,MAFF,-0.03845444786797832,3.6665309142310237e-05
74,EP300,0.058201450929581955,4.101909730051536e-10
75,SREBF2,0.07424469892211247,1.4969767487265577e-15
76,SMC1A,-0.057924536514647254,4.961661028995455e-10
77,TAF1,0.10730144134359912,7.698012727846275e-31
78,ZBTB33,0.03341432652910888,0.0003354859004275866
